Date,Infra,Bank,Auto,Metal
25-Jan-05,2767.39,3438.91,2661.68,959.26
27-Jan-05,2810.28,3443.52,2697.71,943.09
28-Jan-05,2902.97,3562.91,2762.26,939.2
31-Jan-05,2985.49,3670.63,2804.58,917.55
01-Feb-05,2973.96,3659.29,2790.57,896.61
02-Feb-05,3010.16,3699.99,2779.21,892.37
03-Feb-05,3062.84,3753.57,2820.41,884.48
04-Feb-05,3051.13,3711.87,2829.89,859.42
07-Feb-05,3050.32,3671.91,2813.06,842.58
08-Feb-05,3071.46,3684.89,2812,855.55
09-Feb-05,3152.78,3751.82,2837.61,846.73
10-Feb-05,3179.68,3769.85,2844.78,848.66
11-Feb-05,3188.39,3771.8,2888.02,848.45
14-Feb-05,3237.74,3797.16,2896.57,830.67
15-Feb-05,3215.44,3781.12,2876.46,813.86
16-Feb-05,3245.49,3748.72,2825.34,833.13
17-Feb-05,3254.51,3736.25,2797.52,843.45
18-Feb-05,3267.13,3760.83,2777.12,862.39
21-Feb-05,3241.91,3733.18,2768.64,883.43
22-Feb-05,3292.43,3792.87,2791.23,891.52
23-Feb-05,3332.64,3785.04,2790.61,889.84
24-Feb-05,3323.93,3795.93,2766.85,895.72
25-Feb-05,3349.97,3768.11,2743.78,906.43
28-Feb-05,3372.12,3916.46,2779.79,901.6
01-Mar-05,3431.17,3854.19,2771.38,907.4
02-Mar-05,3420.75,3956.69,2782.54,909.95
03-Mar-05,3442.26,4002.35,2852.15,922.31
04-Mar-05,3500.42,4023.26,2884.93,915.55
07-Mar-05,3478.6,4120.48,2876.17,903.87
08-Mar-05,3466.19,4152.12,2869.26,903.83
09-Mar-05,3436.43,4112.75,2825.18,911.83
10-Mar-05,3427.68,4167.86,2822.82,916.74
11-Mar-05,3416.45,4146.64,2816.46,927.78
14-Mar-05,3403.87,4099.12,2812.77,926.02
15-Mar-05,3378.58,4060.2,2794.05,920.25
16-Mar-05,3352.72,4118.42,2784.47,934.92
17-Mar-05,3313.23,4068.74,2751.97,941.09
18-Mar-05,3301.38,4092.55,2762.35,931.85
21-Mar-05,3296.24,4073.62,2714.93,926.03
22-Mar-05,3245.75,3936.3,2657.05,927.09
23-Mar-05,3188.99,3804.28,2623.51,929.69
24-Mar-05,3157.15,3802.49,2596.68,941.72
28-Mar-05,3198.42,3858.06,2601.15,948.9
29-Mar-05,3144.47,3767.83,2551.54,963.49
30-Mar-05,3138.16,3791.66,2599.81,964.64
31-Mar-05,3192.17,3847.96,2644.94,956.05
01-Apr-05,3294.52,3931.3,2696.32,963.57
04-Apr-05,3309.69,3966.32,2658.98,978.65
05-Apr-05,3312.67,3927.05,2623.42,970.24
06-Apr-05,3326.57,3936.87,2619.91,963.73
07-Apr-05,3286.72,3905.23,2625.44,966.62
08-Apr-05,3243.67,3856.29,2618.38,954.23
11-Apr-05,3213.95,3813.28,2598.01,933.79
12-Apr-05,3248.66,3872.92,2620.05,952.18
13-Apr-05,3267.93,3886.85,2623.88,948
15-Apr-05,3237.16,3771.08,2573.94,955.28
18-Apr-05,3239.5,3684.95,2579.42,971.56
19-Apr-05,3209.96,3662.47,2546.16,981.87
20-Apr-05,3223.94,3688.97,2614.88,1001.53
21-Apr-05,3307.71,3714.01,2631.22,1013.42
22-Apr-05,3369.04,3742.41,2639.74,1015.78
25-Apr-05,3385.11,3791.4,2656.05,1023.56
26-Apr-05,3366.16,3778.89,2643.04,1022.23
